,,RI-JK,RI-MP2
aug-cc-pVDZ,56,8.009853729853837,8.065250450877146
aug-cc-pVDZ,93,7.124802577550322,7.224432735273351
aug-cc-pVDZ,97,6.994437318173304,7.181903017717516
aug-cc-pVDZ,103,6.859708707607969,6.881495366740701
aug-cc-pVDZ,112,8.421873541432442,8.755003508836314
aug-cc-pVDZ,117,7.612044898789904,7.855226154076608
aug-cc-pVDZ,119,9.07122448334686,8.491165652508522
aug-cc-pVDZ,129,12.119675177135548,12.752949984496977
aug-cc-pVDZ,142,5.83744434057271,5.867980726034646
aug-cc-pVDZ,158,2.509156088589524,2.591924338617351
aug-cc-pVDZ,159,8.766814877019796,9.515540166871654
aug-cc-pVDZ,205,7.046147331507633,6.893398531401355
aug-cc-pVDZ,213,9.918800860174038,10.207586703320048
aug-cc-pVDZ,223,6.032867877226924,6.0788447243454975
aug-cc-pVDZ,245,8.065299633876839,8.805394925706882
aug-cc-pVDZ,256,7.364679763264505,8.101706337420298
aug-cc-pVDZ,257,7.378313711524748,8.00060704584275
aug-cc-pVDZ,267,12.665107652852315,13.649233654009189
aug-cc-pVDZ,276,10.331535903538745,10.109569838478363
aug-cc-pVDZ,281,8.060412477888514,8.056745279704696
aug-cc-pVDZ,282,9.401673358102434,9.600860761730951
aug-cc-pVDZ,287,9.530968334630677,9.99751779946371
aug-cc-pVDZ,306,8.303754861821254,8.926296456407748
aug-cc-pVDZ,318,8.380763210641627,8.720112531384357
aug-cc-pVDZ,332,6.343511926542015,6.869268986032893
aug-cc-pVDZ,336,6.983331112624781,7.516218413418378
aug-cc-pVDZ,342,9.582621970597572,9.931783624056278
aug-cc-pVDZ,346,14.588573023698556,14.962904188264377
aug-cc-pVDZ,351,4.000465710594148,4.226248357364152
aug-cc-pVDZ,353,2.316915732420202,2.4535019178698145
aug-cc-pVDZ,361,10.9617932651361,10.649920462759923
aug-cc-pVDZ,381,14.827713035916405,15.519176641864908
aug-cc-pVDZ,390,12.04370260141439,11.887504806099857
aug-cc-pVDZ,393,5.304733359827821,5.354892758462175
aug-cc-pVDZ,397,11.119205492941196,11.883560570176579
aug-cc-pVDZ,399,4.412975691019049,4.730592912757971
aug-cc-pVDZ,425,8.36172240532166,8.65930718842141
aug-cc-pVDZ,438,7.612305044460154,7.973411220932491
aug-cc-pVDZ,445,7.8454471895939655,8.540293937958888
aug-cc-pVDZ,460,13.534104912634087,14.447892459600192
aug-cc-pVDZ,470,4.942769677946035,5.0722494497005854
aug-cc-pVDZ,489,9.064692822825362,9.76250028344967
aug-cc-pVDZ,529,6.994887819454185,7.624007229160315
aug-cc-pVDZ,533,8.627394031153779,9.383374059693713
aug-cc-pVDZ,556,7.07077476713376,7.714185495201943
aug-cc-pVDZ,580,5.638277777642016,5.818006255992839
aug-cc-pVDZ,599,3.9740579917474075,4.194621362556567
aug-cc-pVDZ,617,9.77681316910858,9.827579911180097
aug-cc-pVDZ,654,7.400244835932706,7.659743036795447
aug-cc-pVDZ,655,5.3502359704263265,5.504756217992821
aug-cc-pVDZ,670,5.7663713466218836,5.671062369681976
aug-cc-pVDZ,710,7.12002755194528,7.628154871321763
aug-cc-pVDZ,722,8.871036270307854,9.42016747939689
aug-cc-pVDZ,753,8.335285375045034,8.655996124530503
aug-cc-pVDZ,757,6.907321915521922,6.975151319514423
