,N2_0.5,N2_0.6,N2_0.7,N2_0.8,N2_0.9,N2_1.0,N2_1.1,N2_1.2,N2_1.3,N2_1.4,N2_1.5,N2_1.6,N2_1.7,N2_1.8,N2_1.9,N2_2.0,N2_2.2,N2_2.4,N2_2.6,N2_2.8,N2_3.0,N2_3.5,N2_4.0,C2_0.5,C2_0.6,C2_0.7,C2_0.8,C2_0.9,C2_1.0,C2_1.1,C2_1.2,C2_1.3,C2_1.4,C2_1.5,C2_1.6,C2_1.7,C2_1.8,C2_1.9,C2_2.0,C2_2.2,C2_2.4,C2_2.6,C2_2.8,C2_3.0,C2_3.5,C2_4.0,F2_0.5,F2_0.6,F2_0.7,F2_0.8,F2_0.9,F2_1.0,F2_1.1,F2_1.2,F2_1.3,F2_1.4,F2_1.5,F2_1.6,F2_1.7,F2_1.8,F2_1.9,F2_2.0,F2_2.2,F2_2.4,F2_2.6,F2_2.8,F2_3.0,F2_3.5,F2_4.0,H2O_0.5,H2O_0.6,H2O_0.7,H2O_0.8,H2O_0.9,H2O_1.0,H2O_1.1,H2O_1.2,H2O_1.3,H2O_1.4,H2O_1.5,H2O_1.6,H2O_1.7,H2O_1.8,H2O_1.9,H2O_2.0,H2O_2.2,H2O_2.4,H2O_2.6,H2O_2.8,H2O_3.0,H2O_3.5,H2O_4.0,H6_0.5,H6_0.6,H6_0.7,H6_0.8,H6_0.9,H6_1.0,H6_1.1,H6_1.2,H6_1.3,H6_1.4,H6_1.5,H6_1.6,H6_1.7,H6_1.8,H6_1.9,H6_2.0,H6_2.2,H6_2.4,H6_2.6,H6_2.8,H6_3.0,H6_3.5,H6_4.0,C,F,H,N,O
HF,-103.56728222805367,-106.34373137123478,-107.79278465741064,-108.51801214335144,-108.85326172812205,-108.97866011562604,-108.99227921637167,-108.94831461863951,-108.87697651564646,-108.79501938436145,-108.71151471327742,-108.63113915242849,-108.5560932069761,-108.48722176173861,-108.42465453714682,-108.36816034197992,-108.27171412651187,-108.19412951604122,-108.13173805419194,-108.08138673508134,-108.04050739569547,-107.9674761922234,-107.92082397223723,-71.12826944700515,-72.83144818637518,-73.94100801975324,-74.6406498071655,-75.04698261839475,-75.26501922815777,-75.3683758913395,-75.4041508831895,-75.40168104657221,-75.37900604843757,-75.34698955282312,-75.31190860972887,-75.38723688389408,-75.35603664141951,-75.32470788514966,-75.29420245939883,-75.2374936017436,-75.18758233168657,-75.14447603934742,-75.10759975572627,-75.07619730144991,-75.01670504128555,-74.97658609254312,-190.87410311961224,-194.71111582947958,-196.67779497546442,-197.7122096912662,-198.2603560151919,-198.54762868440687,-198.69220987186895,-198.75749321447427,-198.7782855345806,-198.7742743334359,-198.75692130361386,-198.73301404170533,-198.70657051492415,-198.67992290783377,-198.65436775132773,-198.63056864567326,-198.58914702382154,-198.5557867894722,-198.52936491093647,-198.50854911356586,-198.49212929830287,-198.46423467408104,-198.44759978676413,-74.57189239772381,-75.42932098364288,-75.8316703608804,-76.00624033558749,-76.06372007817467,-76.06076999752564,-76.02737295335542,-75.97968708161224,-75.92645145671942,-75.8723425825865,-75.81979665735912,-75.77001588852013,-75.7235256931281,-75.68048445050984,-75.64085638538494,-75.60451488768058,-75.5407112695273,-75.48761088287661,-75.44340682744507,-75.40661600939941,-75.45618769044228,-75.45491841935896,-75.44880696977947,-2.0842736148471595,-2.706410287352389,-3.0243756867899183,-3.179936512207676,-3.244701408535353,-3.2573030583373086,-3.2396262829292812,-3.2045356085052026,-3.15980599031647,-3.1102264773908654,-3.0587827451851273,-3.007345055368655,-2.9570777212412196,-2.908689538334564,-2.8625919248199705,-2.819001325819414,-2.739610036210734,-2.6703744241133145,-2.610531837763916,-2.5590944022582254,-2.5150373031969107,-2.4309258750772207,-2.374016162392721,-37.69367664529919,-99.41604563303025,-0.499994535158901,-54.40444173915281,-74.81878114397543
MP2,-104.00908816729783,-106.7725027919619,-108.2194354214106,-108.94914860903013,-109.2945620276874,-109.43590343557565,-109.47137841261093,-109.45554312574025,-109.41912140646971,-109.37912803494729,-109.34469384811968,-109.32043986131852,-109.3082878600274,-109.30862209250137,-109.32103629841437,-109.3447546596656,-109.42237444466417,-109.53400034797542,-109.67290023463961,-109.83344915561749,-110.01107435611803,-110.50752414089288,-111.0493959286541,-71.46831088920923,-73.18516535335745,-74.3226522516569,-75.04297537192556,-75.46298158384427,-75.6910165703515,-75.8020324639205,-75.84337434960379,-75.84430970055169,-75.82322364798674,-75.79189269704459,-75.75773275259392,-75.7178024703233,-75.6982582651095,-75.68005124924062,-75.66407937738708,-75.64032587609982,-75.627980805077,-75.62648084694248,-75.63477349116663,-75.65169160731529,-75.72451977915652,-75.8294807635582,-191.53505349694413,-195.35635432219846,-197.3097428995357,-198.33713191296027,-198.88387583105919,-199.1743361492247,-199.32553270195987,-199.3996753202766,-199.4307356744278,-199.4377839676913,-199.43191575961916,-199.41979982166544,-199.40547962392523,-199.39136979942154,-199.37886582612643,-199.36872331987362,-199.35667989333197,-199.35558367055802,-199.36412379792458,-199.38049885375654,-199.40290256766497,-199.47544079481054,-199.55865072825205,-74.88583519771959,-75.74296751721198,-76.1472200905332,-76.32580746176004,-76.3888285051294,-76.39251070650182,-76.36671608174005,-76.32732886953909,-76.28299464576976,-76.2385080336738,-76.19637910404296,-76.15783521969195,-76.12342615036906,-76.093344033721,-76.06758455120801,-76.04588053505643,-76.01329433484267,-75.99737488308696,-75.99353626477877,-76.00074022842807,-75.91196776703819,-75.94122341985425,-75.98268961220752,-2.238000544074078,-2.853582950403893,-3.166979325935563,-3.319372869699408,-3.3820170008569894,-3.3933360465629923,-3.375095470490046,-3.340082151426848,-3.296021435443779,-3.2476758529229546,-3.198016268998456,-3.148904829019692,-3.101504394837743,-3.056529862523807,-3.014404240443485,-2.975356407416512,-2.906799963408568,-2.8507695147142087,-2.806513094981958,-2.7729845572459473,-2.749030303796314,-2.7236857720909753,-2.735171465651299,-37.79751943393017,-99.68424512827059,-0.4999945351589025,-54.54471541157187,-75.01780223604378
CCSD,-104.01798705064537,-106.78218722433347,-108.22887237030567,-108.9572202463864,-109.29985477215718,-109.4365049932205,-109.46466184716834,-109.4380153447361,-109.38636191042153,-109.32585058732992,-109.26498507055014,-109.20813819004472,-109.15741773530578,-109.113836571926,-109.07807050044825,-109.0509438831445,-109.02786876428074,-109.04467355829331,-109.06920151116782,,-108.7567787114987,-108.76095586635935,-108.7853467369154,-71.4839124896239,-73.20446148269974,-74.34846998004633,-75.06673462958196,-75.47744365869934,-75.69529282449177,-75.79777361170288,-75.83291486041587,-75.82997293578298,-75.80689998799879,-75.77471571387812,-75.73995607030673,-75.74658253121594,-75.72380255602498,-75.70141549757224,-75.68027003771356,-75.64327761619955,-75.61444055791651,-75.59410839319693,-75.58156546188518,-75.5748765702125,-75.57004139699403,-75.56976303259611,-191.52461090367,-195.350097122695,-197.30804648236617,-198.33814978259764,-198.88598209423444,-199.1763756161941,-199.32675141042063,-199.39967911638567,-199.42945005440458,-199.43536407091375,-199.42862957836059,-199.41591075908326,-199.40114446923846,-199.38655917521092,-199.37331064103518,-199.3618896798138,-199.34467958658817,-199.33368695200505,-199.32693675770045,-199.32283587502232,-199.32033103721048,-199.3174412390207,-199.31643678741776,-74.89103999516841,-75.74777209620045,-76.15132303882368,-76.32904373138206,-76.39110111004658,-76.3937888287819,-76.367048227954,-76.32683503127983,-76.2818638027562,-76.23698369819296,-76.19473297723775,-76.15634539691649,-76.1223676066781,-76.09298001098132,-76.06817117554264,-76.04781619272289,-76.01947337293095,-76.00532744250106,-76.00032983261238,-75.99971363498541,-75.94284226989365,-75.94394082001325,-75.94416602737189,,-2.8660282183722736,-3.180671936958414,-3.334419332894307,-3.3986192226677496,-3.411801345093559,-3.39585520119874,-3.363733201493572,-3.3233824649826085,-3.2798611783946137,-3.2365478597082653,-3.1958834041853215,-3.1598722141264646,-3.130479307881934,-3.109993974504878,-3.1012831222845887,-3.129685310045086,-3.2076010665103976,-3.292965459190843,-2.5442640932285867,-2.467926749433615,-2.4705576280777,-3.560660528839354,-37.81655158609968,-99.69364185726619,-0.4999945351589025,-54.55911991088208,-75.03224050964386
CCSD(T),-104.02745834968543,-106.79213138735089,-108.24003187851284,-108.9701215874364,-109.3150508441617,-109.4546342301763,-109.48645534206233,-109.46427621728893,-109.41793027707901,-109.36357515767138,-109.30973500963587,-109.26089013447975,-109.21944617822038,-109.18704083736621,-109.1655041887608,-109.15767346952343,-109.20266985483983,-109.33845428194266,-109.48359945331268,,-109.78483730328698,-109.40385061454589,-109.11428869935142,-71.49271126428002,-73.22131804346793,-74.3825683700281,-75.10777972353453,-75.5168764580482,-75.73265969231625,-75.83438869373308,-75.86987141246306,-75.8679332973502,-75.84621719182392,-75.81556626122867,-75.78243104564724,-75.76762482851709,-75.74750548284912,-75.72812651586722,-75.71032002278143,-75.68108628231593,-75.66197500395317,-75.65428765798065,-75.65774819509524,-75.66937132018802,-75.70835215948463,-75.73896375301729,-191.5408404359424,-195.36390931420402,-197.32093320319905,-198.35098678318502,-198.89938532386645,-199.19082703050418,-199.34266237747687,-199.41741838982367,-199.44938104793582,-199.45789347261743,-199.45424894554358,-199.4452128920198,-199.43480529728149,-199.42528657211403,-199.4177715858255,-199.4126331665103,-199.40887838126977,-199.4111171262712,-199.4160527518724,-199.42148242412173,-199.42633852690062,-199.43458519348152,-199.4387968006881,-74.89739934280347,-75.75466666682597,-76.15888592873813,-76.33740013056797,-76.40037328400639,-76.40410268678728,-76.37854155227123,-76.3396655813534,-76.29622360585512,-76.25311735916097,-76.21295604716302,-76.17706409339137,-76.14610097393815,-76.12038279792033,-76.10005610398409,-76.08519456760928,-76.07257911338795,-76.07828513534386,-76.09666485842051,-76.11904459661223,-75.95706981443145,-75.95657859894487,-75.9564126584434,,-2.869391575018437,-3.1841477473802295,-3.338077811151502,-3.402509788342608,-3.4159647992994255,-3.4003324069630967,-3.368572949214509,-3.3286504686722056,-3.28565060538746,-3.242993480687079,-3.2031831229970074,-3.1683217092201286,-3.1405308987063933,-3.1223617960787347,-3.117123084348242,-3.158618751804469,-3.2596133739722153,-3.3731716034016026,-2.6656528672737343,-2.621683193610735,-2.602889729147987,-3.7842123538835,-37.81933280810854,-99.69895053831124,-0.4999945351589025,-54.56233981134641,-75.03647244064653
