,N2_0.5,N2_0.6,N2_0.7,N2_0.8,N2_0.9,N2_1.0,N2_1.1,N2_1.2,N2_1.3,N2_1.4,N2_1.5,N2_1.6,N2_1.7,N2_1.8,N2_1.9,N2_2.0,N2_2.2,N2_2.4,N2_2.6,N2_2.8,N2_3.0,N2_3.5,N2_4.0,C2_0.5,C2_0.6,C2_0.7,C2_0.8,C2_0.9,C2_1.0,C2_1.1,C2_1.2,C2_1.3,C2_1.4,C2_1.5,C2_1.6,C2_1.7,C2_1.8,C2_1.9,C2_2.0,C2_2.2,C2_2.4,C2_2.6,C2_2.8,C2_3.0,C2_3.5,C2_4.0,F2_0.5,F2_0.6,F2_0.7,F2_0.8,F2_0.9,F2_1.0,F2_1.1,F2_1.2,F2_1.3,F2_1.4,F2_1.5,F2_1.6,F2_1.7,F2_1.8,F2_1.9,F2_2.0,F2_2.2,F2_2.4,F2_2.6,F2_2.8,F2_3.0,F2_3.5,F2_4.0,H2O_0.5,H2O_0.6,H2O_0.7,H2O_0.8,H2O_0.9,H2O_1.0,H2O_1.1,H2O_1.2,H2O_1.3,H2O_1.4,H2O_1.5,H2O_1.6,H2O_1.7,H2O_1.8,H2O_1.9,H2O_2.0,H2O_2.2,H2O_2.4,H2O_2.6,H2O_2.8,H2O_3.0,H2O_3.5,H2O_4.0,H6_0.5,H6_0.6,H6_0.7,H6_0.8,H6_0.9,H6_1.0,H6_1.1,H6_1.2,H6_1.3,H6_1.4,H6_1.5,H6_1.6,H6_1.7,H6_1.8,H6_1.9,H6_2.0,H6_2.2,H6_2.4,H6_2.6,H6_2.8,H6_3.0,H6_3.5,H6_4.0,C,F,H,N,O
HF,-103.56728222805401,-106.34373137123498,-107.79278465741115,-108.51801214335138,-108.85326172812248,-108.97866011562598,-108.99227921637147,-108.95419852365625,-108.91333623037404,-108.87622807644449,-108.84411982239652,-108.81876064101627,-108.80292992057,-108.79612483940583,-108.79481540804169,-108.79607515339568,-108.80047969598695,-108.8040981498176,-108.69528514079073,-108.80758761500377,-108.69477609290176,-108.6946236500159,-108.69455872631669,-71.12826944700527,-72.87306254428424,-74.06292811004312,-74.78564943513085,-75.19032129167155,-75.39967225236944,-75.49409660421637,-75.52461997836564,-75.52248566400439,-75.50598309658835,-75.48945554042257,-75.47011535091542,-75.45019475601687,-75.43107393168077,-75.41409068201689,-75.40115869009442,-75.38995998531956,-75.38721895186627,-75.38674848088237,-75.38696937907122,-75.38726666891354,-75.3875933730927,-75.34374320162037,-190.87766579412204,-194.71111582947958,-196.67779497546448,-197.7122096912663,-198.26035601519183,-198.54762868440653,-198.69220987186873,-198.75749321447435,-198.77828553458025,-198.7815543734515,-198.7919521614076,-198.80280812275032,-198.81153077112626,-198.81788496518914,-198.82230483118215,-198.8253101931503,-198.82869659253868,-198.8304186085852,-198.83137834637876,-198.83189142852427,-198.83210682500322,-198.83218082015173,-198.83213891650794,-74.57189239772407,-75.4293209836427,-75.83167036088025,-76.00624033558748,-76.06372007817458,-76.06076999752594,-76.02737295335554,-75.97968708161238,-75.92645145671948,-75.88164148710383,-75.85552897688021,-75.84030216919697,-75.8313779776463,-75.82613498477043,-75.82305514989702,-75.82125046855812,-75.81958673592298,-75.81903352766172,-75.8188557210531,-75.8188005283055,-75.78294622646831,-75.78282782097081,-75.78280647488985,-2.084273614847177,-2.7064102873523854,-3.024375686789911,-3.17993651220766,-3.244701408535332,-3.257303058337321,-3.2396262829291853,-3.2045356085051155,-3.1638760015522607,-3.129124380263371,-3.10024727623891,-3.0767314355375235,-3.057970810750329,-3.0432969194172075,-3.032023882788201,-3.0234966164599992,-3.012420949451382,-3.006453927062402,-3.0033124007119234,-3.001681384659926,-3.0008419085613554,-3.000128060467749,-2.9999967367829967,-37.6936766452992,-99.41604563303042,-0.49999453515890246,-54.40444173915283,-74.81878114397553
MP2,-104.00908816404312,-106.77250279134222,-108.21943541942352,-108.94914860852539,-109.29456202801764,-109.4359034354236,-109.47137841378753,-109.4022240239509,-109.31611469543452,-109.25378563067956,-109.20583489250829,-109.1655161589815,-109.13198780750669,-109.11053830735831,-109.09921332844571,-109.0937596991807,-109.09034129933482,-109.08995456449954,-108.9724428622852,-109.09001428824301,-108.96905246390361,-108.96790316564628,-108.96756101541686,-71.46831088722371,-73.18790949766606,-74.36659138970732,-75.08308521811516,-75.48419691863324,-75.6904536386534,-75.77821722922866,-75.79499858609725,-75.77597321062902,-75.78060048402634,-75.74877909300199,-75.72014340876355,-75.69457771929615,-75.67157493099931,-75.65006547319909,-75.63054020073443,-75.60812953482873,-75.60138795799794,-75.59881169132534,-75.59768423298219,-75.59703321182623,-75.59606744112799,-75.54604365979267,-191.52853915454995,-195.3563543197593,-197.30974289798473,-198.3371319099193,-198.88387582968068,-199.17433614838214,-199.32553270198133,-199.3996753215196,-199.43073567684695,-199.39850551103578,-199.37498321049725,-199.36769947214225,-199.36603725059285,-199.36614991493454,-199.36667488016855,-199.36717582394718,-199.367803069384,-199.36821766444785,-199.3685530400673,-199.36874888684457,-199.36880163149186,-199.36869304447143,-199.3685865372508,-74.88583519553075,-75.74296751582474,-76.14722008963815,-76.3258074610985,-76.38882850177767,-76.39251070669185,-76.36671608271521,-76.32732887278635,-76.28299465528421,-76.1881569060555,-76.12506290732122,-76.08690394616995,-76.06324012604696,-76.04824700221043,-76.03856179882315,-76.03218912640617,-76.02502240542677,-76.02161584488928,-76.0199068723699,-76.01900928687117,-75.98174660418493,-75.98110432689745,-75.98093697897133,-2.238000544288896,-2.8535829534253248,-3.1669793279138054,-3.3193728675273397,-3.3820169991864537,-3.3933360456510817,-3.375095469994565,-3.340082151197728,-3.2714154835851317,-3.210488973502648,-3.162422395979048,-3.1243394570505703,-3.094339420289626,-3.0709758291210925,-3.0530213644320154,-3.0393957871821375,-3.021538938355118,-3.0117221078811496,-3.006395018354108,-3.003512593446881,-3.0019471507335234,-3.000467451168108,-3.000119773468714,-37.79751943533114,-99.68424512797307,-0.4999945351589025,-54.54471541100097,-75.01780223690483
CCSD,-104.01798705067252,-106.782187224307,-108.22887237048315,-108.95722024611818,-109.29985477279709,-109.4365049942589,-109.46466184720617,-109.43725987334176,-109.38448728905418,-109.32407735240865,-109.2671168876345,-109.2202288614445,-109.18492151989322,-109.15964102213215,,-109.13187093459098,-109.12245076719557,,,,,,,-71.48391248961866,-73.20867540245685,-74.3836017344106,-75.10035704816293,-75.5031511509594,-75.71332816607166,-75.80936873378293,-75.83920664700155,-75.83190410806694,-75.82892732073087,-75.80607406216973,-75.77930716822377,-75.75218435080566,-75.72693998398394,-75.70479572315398,-75.68612895824297,-75.65248941776332,-75.64180965038656,-75.63766709561561,-75.6359571993127,-75.63510744728224,-75.63408281035912,-75.59984048069886,-191.52382024219887,-195.35009712185158,-197.30804648222747,-198.33814978243902,-198.88598209443768,-199.17637561623891,-199.3267514104078,-199.39967911631004,-199.42945005402757,-199.4337190092293,-199.4246674244422,-199.4115421349092,-199.40022040607622,-199.39313173534643,-199.3895898830311,-199.38804548696385,-199.38718387951874,,,,,,-199.38737973752924,-74.89103999516843,-75.7477720962002,-76.15132303882355,-76.32904373138201,-76.39110111004652,-76.39378882878219,-76.3670482279541,-76.32683503127993,-76.28186380275623,-76.2353476596237,-76.19097088955887,-76.15107115042048,-76.11740449576119,-76.09098994605785,-76.07170874856328,-76.05844771456069,-76.04398013147276,-76.03785391351418,-76.0351326351634,-76.03382854435554,,,-76.00568868082514,-2.249197589156399,-2.8660282185044403,-3.18067193712602,-3.334419333100863,-3.398619222695283,-3.4118013437652643,-3.3958552012575507,-3.3637332015900374,-3.320738142445152,-3.272805621057216,-3.225357912523458,-3.1822278671061466,-3.145263962250719,-3.1146188306803166,-3.089657661836552,-3.0695585643308414,-3.040904018550488,-3.0234266572946087,-3.0131738762962237,-3.007334310084231,-3.0040685322224925,-3.0009485950612316,-3.0002393575507273,-37.8165515860997,-99.69364185726634,-0.49999453515890296,-54.559119910882096,-75.03224050964388
CCSD(T),-104.02745834971402,-106.79213138732275,-108.2400318786716,-108.97012158716008,-109.31505084488184,-109.45463423134366,-109.48645534210438,-109.46252665400345,-109.4135856421902,-109.35563772623017,-109.29721265043145,-109.24590348681423,-109.20624322097136,-109.17758773197149,,-109.14433441286525,-109.13149583467211,,,,,,,-71.49271126427449,-73.21865545241734,-74.39232409773764,-75.10964330938752,-75.51373149636017,-75.72593432154638,-75.82454389138827,-75.85711436855199,-75.85241820118077,-75.8508144125025,-75.82748446598494,-75.80055171795846,-75.77291246652813,-75.74650142770595,-75.72279279006754,-75.70276391798453,-75.66416161910458,-75.65019321541075,-75.6445974171911,-75.64224833730853,-75.64109031189948,-75.63977660764802,-75.61403023469254,-191.53925017554647,-195.36390931318323,-197.3209332030435,-198.35098678300028,-198.8993853240831,-199.1908270305507,-199.3426623774634,-199.4174183897386,-199.44938104748758,-199.45661305561444,-199.45071536802044,-199.43798558137956,-199.4231806616434,-199.41140671658863,-199.4044205680557,-199.400915770749,-199.398510571876,,,,,,-199.39800355359776,-74.89739934280352,-75.75466666682571,-76.158885928738,-76.33740013056793,-76.40037328400633,-76.40410268678758,-76.37854155227134,-76.3396655813535,-76.29622360585516,-76.25086859728933,-76.20808011607346,-76.16924068771047,-76.13507987881081,-76.10653310861845,-76.08433057847597,-76.06832263102041,-76.05038325785966,-76.04288682201619,-76.0396857692243,-76.03820751452957,,,-76.01728955020829,-2.2525569276238486,-2.869391575152829,-3.1841477475522955,-3.3380778113661638,-3.4025097883726816,-3.4159647979090737,-3.400332407024576,-3.3685729493179744,-3.32737099747766,-3.280444249790458,-3.2324608310836536,-3.187879728813085,-3.1493594106332417,-3.1174671085471526,-3.091629502643533,-3.070946789385497,-3.041649231322854,-3.023864882411326,-3.0134443313810317,-3.0075041074583804,-3.004175294743132,-3.0009810026490795,-3.00024782282873,-37.81933280810856,-99.6989505383114,-0.49999453515890296,-54.562339811346426,-75.03647244064656
