,information,information,information,information,information,density maxMNAE,density maxMNAE,density maxMNAE,density meanMNAE,density meanMNAE,density meanMNAE,IP,IP,IP
,year,type,hybrid ex,hybrid corr,XYG3-type,RHO,GRD,LR,RHO,GRD,LR,RMSE,MAE,MaxE
functional,,,,,,,,,,,,,,
B3LYP,1993,GGA,hybrid,,,2.1227734985090967,1.7121867361033782,1.90596703514881,0.9189419744202031,0.9375326766569136,0.9776152450937913,0.45616302094958533,0.37601484447282846,0.7761551103324109
B3LYPV1R,1993,GGA,hybrid,,,2.108666157038792,1.7133956347210315,1.9078033634731388,0.9127606017413533,0.937545908600189,0.9783141600309481,0.3101197902849225,0.2486696357940031,0.5730553887175347
B3P86,1993,GGA,hybrid,,,1.7017345747583763,1.8718771287166889,1.9362015452971733,0.8676756323181805,0.8743987260239064,0.9176080471975041,0.7225473982291681,0.6135555877852757,1.1580909476450643
B3PW91,1993,GGA,hybrid,,,1.651938352041993,1.756371203563963,1.813514485376392,0.8550958388261133,0.8686913311295869,0.8924472447155919,0.768914590151183,0.7004923200312021,1.1681512233698186
BHHLYP,1993,GGA,hybrid,,,1.6839194772458104,1.699923125388609,1.5121516963945112,0.7854497100570365,0.6877746186437639,0.6258168617411565,0.6346231895978142,0.5447934466334902,1.0440576586172483
B1B95,1996,mGGA,hybrid,,,1.61849635591851,1.9421067950801232,2.0333288153575344,0.7905811529195591,0.9148356257908956,0.9796252947246463,0.7606057348464258,0.7251722335451932,1.0658569523899928
BPBE,1996,GGA,,,,2.240238522082335,1.9424208982416635,2.282808056189381,0.9655559685099419,1.0725266248633554,1.1886573695324858,0.8221850733057072,0.7702462727801477,1.1873461219748833
PBEC,1996,GGA,exact,,,3.899420894524319,2.1412298357396917,1.4787678893552565,1.189557439910305,0.7656371708426984,0.4323436671089697,1.4145902020286798,1.3183873051419812,2.066446052070603
PBEP86,1996,GGA,,,,2.734962184644399,1.9707735939084716,2.3528826396707774,1.040220865087128,1.1077183117648095,1.2044253752863625,0.6318449295935037,0.555908017650219,0.9697531429903847
HCTH407,1997,GGA,,,,2.160802235045164,1.743407485711156,1.0770816916027774,0.9889740545587404,0.7328270775728384,0.4604086163794799,0.7433598175968387,0.6060429397114468,1.2718477507052057
OP,1997,GGA,exact,,,3.628409763221481,2.1230643110831777,1.4928350933194598,1.1414980655388853,0.7329903764072144,0.4084948288446052,1.3744377818742766,1.2852357122183864,1.9966809169620205
PBE,1997,GGA,,,,2.4934444672832106,1.8260843631957349,2.170298898315957,1.0144282678326335,1.0813673402771804,1.1420244300236408,0.572041220932484,0.520415769167394,0.8653004931683768
PBELYP,1997,GGA,,,,3.706910887818725,1.9920250089801117,2.34758274453082,1.1660186736712013,1.2116056154272503,1.2833946960965525,0.13957017659528642,0.1217950271305952,0.24160681786963778
PBEOP,1997,GGA,,,,3.141312555696396,1.8711498083777636,2.297963949588778,1.0456000332885398,1.1586418674230383,1.2468008629450504,0.4277304132118667,0.40694394090612224,0.6125162141951819
PBEPW91,1997,GGA,,,,2.5747241099320166,1.839828086885568,2.2160238660246057,1.006822728198611,1.0983089147383465,1.172421994579148,0.470528332603508,0.42161798142746915,0.7263048267919885
PBEPZ81,1997,GGA,,,,3.1644616203443774,1.969934962630044,2.4953043133565007,1.0027840809423167,1.2288995120373998,1.3468456027388844,1.1460590812265046,1.1450160924632915,1.1827772677381176
PBEVWN,1997,GGA,,,,3.1347804414423384,1.968633390992382,2.4940416969923818,0.9981710247873538,1.2281296502630585,1.3461401152418742,1.158355343923056,1.156652641966441,1.2123808398816323
PBEX,1997,GGA,,,,3.992314046400804,1.9556045602413383,2.3175008701829327,1.2575514395412914,1.2032419175351883,1.2736789807797158,1.9538870607280363,1.9249047144351945,2.388365501111707
PW91PBE,1997,GGA,,,,2.554321075340832,1.855502155137776,2.2390827386302266,1.0005411362973418,1.0881775716831477,1.1833477310629303,0.44194431277257534,0.3919021529702036,0.688161022775148
SOP,1997,GGA,,,,3.691495628338062,4.037632290619218,3.48732223434224,1.7577300647102625,2.3049701443241513,1.5593269527709972,3.513777102161827,3.3540075416498056,4.884460294575888
SPBE,1997,GGA,,,,3.461177173856387,3.976629344016484,3.480998229960694,1.7530005989609536,2.3230152368115573,1.5796427480249895,3.5562690280614375,3.3905823864727993,4.957201295641369
B97-1,1998,GGA,hybrid,,,1.7211240082291888,1.961902775726372,1.942481126984757,0.8476725573433846,0.8871993364483114,0.8955430074296499,0.7556348688911575,0.704299766993992,1.1113481742337399
EDF1,1998,GGA,,,,2.0986474418323566,1.9905185103468332,2.0323064821796875,0.9121678688946042,0.9620364409107311,0.9843812417784303,0.6733350105285344,0.5874498823271281,1.096068267406281
mPW1LYP,1998,GGA,hybrid,,,1.9929194153906409,1.8405255163157,2.0687902917725958,0.924646704725693,0.9651331829553705,1.0277907943466524,0.32909139644944185,0.2606844769492523,0.5801909175512492
mPW1PBE,1998,GGA,hybrid,,,1.6988111079280663,1.8769891739492963,1.9103994195058636,0.8424226180989318,0.8584244043451196,0.8898293362987008,0.813286193291861,0.7529135921560991,1.1999195346705278
mPW1PW91,1998,GGA,hybrid,,,1.674899913511548,1.8876506538931863,1.955072191725309,0.831203177844391,0.875702001745421,0.9208719994485995,0.7116218332103305,0.6547071675432127,1.0614355686115573
mPW3PBE,1998,GGA,hybrid,,,1.6237347910128836,1.7335876797232228,1.8144215528145704,0.8604096467718608,0.8774255841206634,0.8984200189134015,0.6127460672616858,0.544517692261555,0.9599622089584727
mPWPBE,1998,GGA,,,,2.3849873221474627,1.9161629844034875,2.2878357895939585,0.9734086104976185,1.0846478393448693,1.1968592794998638,0.6061127105233404,0.557106599425893,0.9033492054180101
PBEh1PBE,1998,GGA,hybrid,,,1.6744731759513367,1.829958222274828,1.983382890464199,0.884186772949879,0.9105776004153056,0.9729210513861297,0.7906132582963051,0.7278360903292421,1.1767234997556102
