,information,information,information,information,information,density maxMNAE,density maxMNAE,density maxMNAE,density meanMNAE,density meanMNAE,density meanMNAE,IP,IP,IP
,year,type,hybrid ex,hybrid corr,XYG3-type,RHO,GRD,LR,RHO,GRD,LR,RMSE,MAE,MaxE
functional,,,,,,,,,,,,,,
lrc-XYG3,2013,GGA,hybrid,range-separate,xDH,1.14371497286712,1.2204968389051432,1.030797618030586,0.4935719420435822,0.40764740881783673,0.3504771395473947,0.4092528382338763,0.34184173406352986,0.6836148131400819
MS1,2013,mGGA,,,,2.0303637466689675,2.153093169755369,1.96334556867042,0.9973219439326789,0.8907047391690478,0.8506466933039777,0.9522626570400683,0.8664677813233936,1.4422153813355294
MS2,2013,mGGA,,,,1.927827314625938,2.1245943834144776,1.997120059752948,0.9373620183536936,0.8933567006610714,0.8774500726395199,0.7068828987178517,0.6334474839842533,1.0888090398674422
revB3LYP,2013,GGA,hybrid,,,2.1669644780690223,1.5994958345161598,1.7383617169879113,0.9460729872765429,0.9126895959498379,0.9109675974717343,0.6215774525874405,0.5425892725794483,1.0086071340127205
revPBE0-DH,2013,GGA,hybrid,hybrid,,1.7225955059240396,1.8924127305786893,1.6603624137370063,0.7929623762860245,0.7143376854377822,0.6420575105187972,0.7403064631176062,0.6768065593591631,1.1124506329340988
TPSS0-DH,2013,mGGA,hybrid,hybrid,,1.829574254702356,1.9190730138123064,1.4128210338121994,0.7711158875367886,0.5703311615342713,0.39845233495143606,0.947095614082294,0.8784914628834694,1.393459289078237
PBE-QIDH,2014,GGA,hybrid,hybrid,,1.5973708038253642,1.6351338482237086,1.2859758034281588,0.6934780845408034,0.5337817494961291,0.40747858613238935,0.9235221512338659,0.8656811232589684,1.3324173747022883
TPSS-QIDH,2014,mGGA,hybrid,hybrid,,1.7085797258444708,1.7891845321753987,1.2991291471169495,0.7103829266214853,0.5071402585477602,0.3244411188160012,0.965873376688304,0.9050726952006087,1.394819309244781
PBE-CIDH,2015,GGA,hybrid,hybrid,,1.638177216620413,1.6808172711311076,1.4221255714725782,0.7403451336338539,0.6199759732325096,0.5318463161462251,0.8875067168442838,0.8246569029675731,1.301392499079725
TPSS-CIDH,2015,mGGA,hybrid,hybrid,,1.7992350669159924,1.8853006790018687,1.3816489184850174,0.7577215611606766,0.5536785617111107,0.37812819153442223,0.9507988841075422,0.8836611206207104,1.3941243118976558
MN15,2016,mGGA,hybrid,,,5.251814278219604,10.331246534556762,23.79507464414461,2.3517379990137752,6.595722410349877,12.999248567196613,1.1611128406487496,1.1190437828963233,1.5792207009112644
MN15-L,2016,mGGA,,,,3.857492012017975,8.511483551168945,21.81981118230844,2.4436991443687353,5.582807600682207,11.765541064931709,4.5442721666037365,4.177323956300654,6.811776158599798
SOS0-PBE0-DH,2016,GGA,hybrid,hybrid,,1.6045541491260853,1.657177567378172,1.453848772908554,0.7373818273832285,0.6447383780737951,0.5766105926910796,0.7919356312677536,0.7285387195984008,1.1801264802251126
SOS0-PBE-QIDH,2016,GGA,hybrid,hybrid,,1.5052692087864203,1.551432227473025,1.233674019812157,0.6587289576895621,0.5168628211194081,0.4018107313665856,0.7267088526717196,0.6706715595405832,1.0771260874250856
revM06-L,2017,mGGA,,,,2.388927554873926,2.3192396552242283,3.781974010484607,1.345827564116581,1.1281436790277766,2.0350472510936033,2.5775868151543477,2.4467878653910162,3.625012772820412
revM06,2018,mGGA,hybrid,,,1.504757831187866,2.001711047071465,3.0358363228827194,0.9462097844363345,1.299798394001442,1.744369582112461,1.2866307733418159,1.21252493149548,1.8472909437713838
RSX-QIDH,2018,GGA,range-separate,hybrid,,1.637487335964345,1.6395439032160848,1.2689188075629263,0.7295656099049628,0.5349347009143265,0.3933184116015044,1.1519875132260182,1.0802100044370135,1.6511035829070693
revM11,2019,mGGA,range-separate,,,3.787096872258692,3.7718296319706233,7.531983654349346,1.4643864276407779,2.682731576812641,4.3191630691572955,0.40244832085378657,0.4007632786368471,0.45073337407986
RSCAN,2019,mGGA,,,,2.048658845084,2.0855322169172608,1.8598571822459933,0.9773194534927325,0.849370458140016,0.8100203057163833,1.9081225073031973,1.7959606973209918,2.7422033025240466
RSX-0DH,2019,GGA,range-separate,hybrid,,1.7077314937681178,1.6755469183756997,1.4113640430137522,0.8073352776669375,0.6488049023954551,0.5423451552757785,1.1866891056414273,1.0893351907240465,1.7647711239485488
ωB2GP-PLYP,2019,GGA,range-separate,hybrid,,1.4895159846463544,1.5730068355806357,1.384653398428522,0.734707311574714,0.5899831167910581,0.5267979745068517,0.8576769855445807,0.7848903869838644,1.2913392425949155
ωB2PLYP,2019,GGA,range-separate,hybrid,,1.4792384186199778,1.574075920013868,1.504178529333601,0.8070356422541144,0.6772809404499428,0.6468496889635018,0.8264792677213612,0.7381272714521939,1.2842517677532896
M06-SX,2020,mGGA,range-separate,,,1.7000714566244686,2.434384404789175,3.61685305759825,1.0027913719725319,1.4989632127693306,2.052113303791722,2.0351175332939055,1.9905760417878529,2.61771210461319
R2SCAN,2020,mGGA,,,,2.0990947959216584,2.098820861157741,1.8512336212418683,1.0041548666015285,0.8536020425533325,0.8074601403213336,2.0969005190634826,1.9750341900599093,3.009026705510678
revXYG3,2021,GGA,hybrid,hybrid,xDH,1.0475613967959627,1.1127859208932749,0.8762503006263196,0.43292037027911084,0.33563135438299296,0.24027497229929692,0.37389365026490645,0.3065227705802715,0.6306638353016183
revXYGJ-OS,2021,GGA,hybrid,hybrid,xDH,0.7120129521975991,0.4998531703830461,0.3201917278869967,0.37519269295118135,0.28087982189333377,0.1514773012121236,0.5467912946974267,0.48558593863161664,0.8620772036999824
RS-B88-LYP,2021,GGA,range-separate,range-separate,,1.492576948464024,1.5772306594725365,1.516160896843423,0.7447892607352087,0.6938122445071311,0.6633285720625525,0.7446674295086294,0.7164257010668429,1.0544196794318168
RS-PBE-P86,2021,GGA,range-separate,range-separate,,1.5814097006242018,1.6480360515353905,1.4966399836822577,0.7243305018601285,0.6488585779917612,0.5910541387411631,0.9363756479123989,0.891760208417633,1.3392998271949068
RS-PBE-PBE,2021,GGA,range-separate,range-separate,,1.5568414552570011,1.5400274550192508,1.3492432743625336,0.7331539237325488,0.6427757351823036,0.5506244880281234,0.9276082769118609,0.8896232463755448,1.305378385473773
RS-PW91-PW91,2021,GGA,range-separate,range-separate,,1.5389227939058738,1.568743349769252,1.4168784744114231,0.720541965154256,0.650585522343229,0.5884715083662873,0.8515107683122756,0.8194390131574245,1.1882358918389855
SOS-RSX-PBE0-DH,2021,GGA,range-separate,hybrid,,1.6706265207223354,1.6435063301078536,1.3935472770130983,0.7924055967980275,0.6422948841946065,0.5408415255036847,1.1142485179499697,1.0180800169932052,1.6675824655093265
SOS-RSX-PBE-QIDH,2021,GGA,range-separate,hybrid,,1.551670159203438,1.5642301624453698,1.2232741428895684,0.696406510785559,0.5193150659953509,0.3890531386500688,0.9616281708790021,0.8931216685424346,1.4009588138698632
ωB88PP86,2021,GGA,range-separate,hybrid,,1.5449517483062978,1.6741452092180849,1.4220852646321025,0.7056957134360774,0.5699068257255165,0.5003908644159096,1.1723911913481524,1.1034646565701098,1.652105745935728
ωPBEPP86,2021,GGA,range-separate,hybrid,,1.5324225359434356,1.647886610849036,1.3517311500439313,0.6619700347787388,0.5274087273581692,0.43328598449594463,0.8691525275408549,0.7988286826892276,1.2740675663574166
XYG5,2021,GGA,hybrid,hybrid,xDH,0.9235162496450324,0.8028160214258876,0.5199497871029106,0.41063989683104357,0.262832899236769,0.14359128208059693,0.6234055490261539,0.5643960538395719,0.9582474056941805
XYG6,2021,GGA,hybrid,hybrid,xDH,0.9013229185100018,0.6654356751210272,0.4449084449625333,0.44202354966312496,0.3557442447408102,0.2205247586082528,0.6328345847659458,0.553564716897089,1.00711471061544
XYG7,2021,GGA,hybrid,hybrid,xDH,1.586041111545323,1.463041990238383,1.377047679926421,0.8605047935234601,1.0046436220480326,0.7687893373239627,1.3165293742653585,1.1551604072678974,2.0925044951408722
XYGJ-OS5,2021,GGA,hybrid,hybrid,xDH,0.7710895146068703,0.995833324272723,1.0322769749571858,0.5320347867157326,0.6963792037520153,0.5573202900406579,0.8259940518236241,0.7290826977658812,1.2980725749732756
CASE21,2022,GGA,hybrid,,,1.6322949304693442,1.8208549510027623,1.9129453777548828,0.8630857837509751,0.8866721943237749,0.8897869007240115,0.47122841418693945,0.3902446473206839,0.7797139848621555
GAS22,2022,mGGA,range-separate,,,2.037271770791384,2.5071363270290274,2.388463559730284,0.9691152873665996,1.018670254327205,1.0169346310888587,0.7818332857259113,0.6412387516778632,1.3124873441594218
r++SCAN,2022,mGGA,,,,2.055890326773953,2.0862786454470204,1.8567710971548157,0.980596601749811,0.8510352467359555,0.810219937896337,1.9656161765215143,1.8509321932471028,2.822200680624576
R2SCAN0,2022,mGGA,hybrid,,,2.05865834083298,2.0589294111066896,1.6886682580978014,0.9163851962198658,0.7406139734642052,0.6467649982140431,1.8931224309760615,1.7787485623008255,2.7299997042181303
R2SCAN50,2022,mGGA,hybrid,,,2.0205248828100006,2.033332447497733,1.5644753792413215,0.9084839423957675,0.6592607419812682,0.4992218570307485,1.6874607615548556,1.5804429366098063,2.448662354448686
R4SCAN,2022,mGGA,,,,2.076695151771057,2.111999766247594,1.8792451983597664,1.0004797379723598,0.8693761110046793,0.8231314566370072,2.095940234023189,1.9731210888176183,3.0178660141845626
R4SCAN0,2022,mGGA,hybrid,,,2.0428898828645385,2.068910972372107,1.7097648218105503,0.9080177163586807,0.7500440111822272,0.6584899050667298,1.8925064092479105,1.777387602909677,2.736669263686508
