,RHO,RHO,RHO,RHO,RHO,RHO,RHO,RHO,RHO,RHO,RHO,RHO,RHO,RHO,GRD,GRD,GRD,GRD,GRD,GRD,GRD,GRD,GRD,GRD,GRD,GRD,GRD,GRD,LR,LR,LR,LR,LR,LR,LR,LR,LR,LR,LR,LR,LR,LR
,B+1,B+3,C+2,C+4,N+3,N+5,O+4,O+6,F+5,F+7,Ne+0,Ne+6,Ne+8,Be+0,B+1,B+3,C+2,C+4,N+3,N+5,O+4,O+6,F+5,F+7,Ne+0,Ne+6,Ne+8,Be+0,B+1,B+3,C+2,C+4,N+3,N+5,O+4,O+6,F+5,F+7,Ne+0,Ne+6,Ne+8,Be+0
CCSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MP4(SDQ),0.145066,0.043486,0.102303,0.032154,0.074834,0.025006,0.056749,0.02019,0.044913,0.016723,0.245539,0.037347,0.014096,0.213037,0.07106,0.058839,0.063307,0.051802,0.057179,0.046815,0.052746,0.04295,0.050175,0.039913,0.233093,0.049295,0.037343,0.081023,0.044576,0.047649,0.047505,0.050802,0.050531,0.053807,0.053724,0.056433,0.057459,0.059053,0.16164,0.061886,0.061427,0.042165
MP3,0.48252,0.001564,0.576536,0.00082,0.662641,0.000479,0.741575,0.000308,0.814067,0.000202,0.195952,0.881324,0.00013,0.389288,0.205143,0.001675,0.325127,0.00106,0.463274,0.000734,0.617271,0.000569,0.785706,0.00042,0.073556,0.967352,0.000283,0.106916,0.069516,0.000696,0.135799,0.000519,0.230724,0.000422,0.357484,0.000405,0.519166,0.000311,0.021041,0.71842,0.000247,0.028116
MP2,0.822068424,0.009760141,0.942919603,0.006070139,1.068672587,0.004093587,1.190524577,0.002919549,1.305503042,0.002171997,0.747197432,1.413851532,0.001668741,0.744850823,0.309927954,0.010204482,0.49339695,0.007735305,0.709244876,0.006169865,0.95284902,0.005083936,1.221043395,0.00429306,0.282968693,1.51179649,0.003690919,0.166261321,0.100475365,0.004738198,0.201225651,0.004282169,0.347781153,0.003975691,0.545597331,0.003744863,0.799583346,0.00356076,0.081244714,1.114342622,0.003406215,0.039262644
HF,1.657700421,0.043472011,1.654443064,0.03214369,1.725015295,0.025017072,1.827709614,0.020202138,1.94232586,0.016716692,2.526158527,2.06068455,0.014119203,1.85860767,0.48334949,0.058817652,0.712445614,0.051790249,0.99053296,0.046817505,1.309968533,0.042986009,1.664883083,0.039907393,1.191905202,2.052249295,0.037356005,0.314681984,0.123418636,0.047613412,0.252767903,0.050795833,0.444575792,0.053789939,0.705611226,0.056500734,1.042189054,0.059035002,0.408707755,1.460902526,0.061384596,0.053296736
