,B+1,B+3,Be+0,C+2,C+4,F+5,F+7,N+3,N+5,Ne+0,Ne+6,Ne+8,O+4,O+6
CCSD,-24.34682446,-22.02991777,-14.66557783,-36.53254815,-32.40512134,-88.09811201,-75.53043481,-51.22020739,-44.78026058,-128.9219392,-110.2877396,-93.90550385,-68.40885996,-59.15534864
MP4(SDQ),-24.341903,-22.029903,,-36.52657,-32.405112,-88.088852,-75.530432,-51.213147,-44.780254,,-110.277368,-93.905502,-68.400705,-59.155345
MP3,-24.336271,-22.029734,,-36.519516,-32.404991,-88.077383,-75.530375,-51.204638,-44.780162,,-110.264408,-93.905455,-68.390721,-59.155273
HF,-24.237547,-21.98622112,-14.57301259,-36.40841977,-32.36117259,-87.93381458,-75.48607672,-51.08218044,-44.73613503,-128.5467859,-110.1107281,-93.86105161,-68.25752777,-59.11110294
MP2,-24.32341977,-22.02760578,-14.64749159,-36.50379218,-32.40317093,-88.05294368,-75.52910335,-51.18603112,-44.77857229,-128.922989,-110.2370282,-93.90430058,-68.36920236,-59.15385887
