functional,year,type,hybrid ex,hybrid corr,XYG3-type
RS-PW91-PW91,2021,GGA,range-separate,range-separate,
SOS-RSX-PBE0-DH,2021,GGA,range-separate,hybrid,
SOS-RSX-PBE-QIDH,2021,GGA,range-separate,hybrid,
ωB88PP86,2021,GGA,range-separate,hybrid,
ωPBEPP86,2021,GGA,range-separate,hybrid,
XYG5,2021,GGA,hybrid,hybrid,xDH
XYG6,2021,GGA,hybrid,hybrid,xDH
XYG7,2021,GGA,hybrid,hybrid,xDH
XYGJ-OS5,2021,GGA,hybrid,hybrid,xDH
CASE21,2022,GGA,hybrid,,
GAS22,2022,mGGA,range-separate,,
r++SCAN,2022,mGGA,,,
R2SCAN0,2022,mGGA,hybrid,,
R2SCAN50,2022,mGGA,hybrid,,
R4SCAN,2022,mGGA,,,
R4SCAN0,2022,mGGA,hybrid,,
