,B+1,B+3,Be+0,C+2,C+4,F+5,F+7,N+3,N+5,Ne+0,Ne+6,Ne+8,O+4,O+6
SOS-RSX-PBE0-DH,-24.273137548578422,-21.968234168848245,-14.611014722543507,-36.439129274168494,-32.33351043817636,-87.94874893952114,-75.43318788847647,-51.10748711493874,-44.699589730659206,-128.81798653113466,-110.12094186909198,-93.80044229880757,-68.27750480457163,-59.06620011565699
SOS-RSX-PBE-QIDH,-24.30253715483402,-21.998032964074294,-14.633656930830378,-36.47477460074835,-32.36785279960121,-88.00197665362465,-75.47863612364124,-51.14927807298846,-44.73794827310572,-128.86228746585144,-110.17944072999882,-93.84914292124063,-68.32516521908802,-59.10822163173909
TPSS0-DH,-24.339840996506002,-22.035303711131508,-14.665430619629696,-36.51807224062963,-32.41064497407765,-88.06016281756662,-75.53612847040897,-51.1980270043632,-44.78586878310228,-128.94646596371342,-110.24177971137706,-93.91120630016617,-68.37885194193198,-59.161018854760265
TPSS-CIDH,-24.339066022877518,-22.034869251867317,-14.664497632767981,-36.51735234732746,-32.41021333326528,-88.05964356383265,-75.53570438637205,-51.19736981564923,-44.78543973183447,-128.9446229834677,-110.2413340745545,-93.91078510248144,-68.37826156925718,-59.16059185745666
TPSS-QIDH,-24.336069216993096,-22.033361971813427,-14.660872132750827,-36.51462862500037,-32.40872951037592,-88.05786310364657,-75.53427135128918,-51.19494640955467,-44.78397527398784,-128.9390870144916,-110.23989078733685,-93.90936735594521,-68.37615201434318,-59.159142128356976
XYG3,-24.352514650373447,-22.036012599610135,-14.672670441868746,-36.53447986717832,-32.41127060564237,-88.08454206316738,-75.53657630276776,-51.217476362043236,-44.78641829768262,-128.97091873045855,-110.26828989982916,-93.91163088395979,-68.40090500504014,-59.161506547658966
XYG5,-24.315975389938856,-22.00514439864606,-14.643259846617738,-36.49095536593668,-32.374706768511274,-88.02151230368892,-75.48303413704214,-51.16727410715614,-44.74418465923134,-128.85362776946835,-110.19900928279594,-93.85244212986787,-68.34422001892082,-59.11361399612591
XYG6,-24.304922986342124,-21.991337842458776,-14.639243547717497,-36.472668336115234,-32.35471095481691,-87.98068669280636,-75.44316055870752,-51.14160940252293,-44.717745614695424,-128.81521341215293,-110.15041897536166,-93.805647662766,-68.31104014388153,-59.08053525882709
XYG7,-24.21100014744675,-21.902414308044285,-14.576166203086402,-36.34692389292682,-32.24047624988054,-87.75614080960985,-75.25117544970142,-50.983375040857986,-44.57784034986283,-128.46739039470597,-109.89224008434371,-93.58735611062575,-68.11983483280545,-58.91469309818717
XYGJ-OS,-24.29087601288573,-21.973599678769485,-14.630893214927287,-36.45260936735244,-32.330988746204085,-87.9413070356497,-75.40104295100403,-51.11527603928822,-44.68795003818427,-128.7751110614182,-110.10434739009987,-93.75730739285902,-68.27825090163762,-59.04460297180915
XYGJ-OS5,-24.25131968928948,-21.939597070193706,-14.601252163513218,-36.40329183745993,-32.28922827780297,-87.86386798548739,-75.33542801599108,-51.05646228637378,-44.63832425103389,-128.64797279341386,-110.01767606766533,-93.6835972593665,-68.21008394989391,-58.98701929798297
lrc-XYG3,-24.352583476883144,-22.036012605531575,-14.673006263730828,-36.53449932003562,-32.41127060747441,-88.08454341618561,-75.53657630290832,-51.21748325626003,-44.78641829836863,-128.97093845174967,-110.26829059858424,-93.91163088403248,-68.40090787972747,-59.16150654795376
mPW2PLYP,-24.336681525786155,-22.02245335107184,-14.660344551579758,-36.515294872575794,-32.39421851391941,-88.05483048134712,-75.50895024321893,-51.19484961336085,-44.7658518669107,-128.9542872437294,-110.23496819315237,-93.88046659792855,-68.37476333171684,-59.13741453466254
revPBE0-DH,-24.340269308845254,-22.03121123456292,-14.665965035107154,-36.51833934642254,-32.40523782098696,-88.05995284782122,-75.52677019148265,-51.198124792990846,-44.779145176448274,-128.93355657613893,-110.24143075346569,-93.90053046461598,-68.37879034735037,-59.152978189085964
revXYG3,-24.357989635622552,-22.040635654808465,-14.676650617695266,-36.54137295065971,-32.41721211453111,-88.0961110215107,-75.54650386999596,-51.22587465794469,-44.79368584426374,-128.97953176022665,-110.28149609255723,-93.92289046546135,-68.41086655555931,-59.17010257557885
revXYGJ-OS,-24.293582190799896,-21.980696046090664,-14.625205801592674,-36.46388171800163,-32.34512503593977,-87.98035256025469,-75.43854263470926,-51.1354954757585,-44.70956386035269,-128.7810721117409,-110.15319587476951,-93.80309453210468,-68.3077390740235,-59.07402709551105
ωB2GP-PLYP,-24.303939137373636,-21.996706669517792,-14.631946190151167,-36.478597899618094,-32.36779028010826,-88.01086636019882,-75.48318165195106,-51.15502621842275,-44.739309129087665,-128.89372460204524,-110.18972736416704,-93.85540111046731,-68.33256285949837,-59.1111287228536
ωB2PLYP,-24.292570832595153,-21.98239761734136,-14.622861752209607,-36.46492950916331,-32.35143960856064,-87.99082870652424,-75.46230361944174,-51.1390804735024,-44.72124708104945,-128.8789064240137,-110.16789650362085,-93.83330979002476,-68.31448543354102,-59.091580390444356
ωB88PP86,-24.304168236615176,-22.00454426868363,-14.633608185079813,-36.479658126445855,-32.37945873761496,-88.021296062096,-75.50699394298391,-51.15841295721058,-44.754974928558404,-128.90632272219526,-110.20433081946278,-93.88326249022451,-68.33918812306027,-59.13086201235163
ωB97X-2-LP,-24.358408927746947,-22.06615650868679,-14.675624868144727,-36.54447463058212,-32.45337353794124,-88.11338860100328,-75.61641628725347,-51.23284298791412,-44.840898865051265,-128.99465703691007,-110.30479611272428,-94.00430373544864,-68.42264051042233,-59.22859593931753
ωB97X-2-TQZ,-24.34310679004618,-22.04708475975741,-14.661983673803833,-36.52744745225047,-32.430500679413576,-88.0907978222243,-75.58217381442705,-51.21400075322073,-44.814231619269506,-128.92839508256822,-110.28031141970108,-93.96627609169877,-68.40193470411249,-59.19814075599912
ωPBEPP86,-24.319649609236176,-22.011912755817605,-14.647919078233775,-36.49579202154984,-32.386061954111995,-88.03793354735987,-75.51069327301724,-51.174913345328115,-44.760689597259685,-128.95896608615854,-110.22082918414567,-93.8858682080514,-68.35583824267785,-59.13560122426335
xDH-PBE0,-24.341645391932914,-22.0260117370468,-14.665409736594636,-36.52066603123729,-32.39904135367468,-88.06562046862686,-75.51777116872391,-51.20150485212951,-44.77199177536065,-128.90692420764103,-110.24831461708055,-93.89063407810417,-68.383282068384,-59.144888508283074
