,B+1,B+3,Be+0,C+2,C+4,F+5,F+7,N+3,N+5,Ne+0,Ne+6,Ne+8,O+4,O+6
CAM-B3LYP,-24.321716575920973,-21.9992184829154,-14.650368429324837,-36.495300053802985,-32.367720606463365,-88.02123329827582,-75.47618716469574,-51.16991424646898,-44.736837819158296,-128.95790559508546,-110.19766235046227,-93.84621122237749,-68.34528208093482,-59.10636769013132
CASE21,-24.321931213942655,-22.004561608176303,-14.655266827290443,-36.49231825221994,-32.369745825762976,-88.01033976739834,-75.46545192189316,-51.164272172556295,-44.73492322443275,-128.9134419364286,-110.1839595962913,-93.83083146116195,-68.33706333091429,-59.10015023600987
EDF1,-24.349607604368313,-22.037211403677322,-14.672862822681124,-36.52854107855458,-32.41075949410854,-88.06696250295442,-75.53131808249329,-51.20797179794737,-44.78426596562924,-128.99914072484702,-110.24638834020587,-93.9048860105274,-68.38748555357918,-59.157778817584045
GAS22,-24.361910546867648,-22.044821793384095,-14.6777547203491,-36.54792198399229,-32.42820743306156,-88.11066748836535,-75.58096056952078,-51.234913166886614,-44.81218251456188,-128.98548336833858,-110.29908899931759,-93.96553992401569,-68.42256709408855,-59.196480168319525
GLYP,-24.336359921326107,-22.031584531280348,-14.660893219749164,-36.5144850706664,-32.40416107109063,-88.05156410765181,-75.52133876633798,-51.193347295360084,91.2324940859027,-128.97662541343146,-110.23069122033668,0.6909984054388668,-68.37243488244725,952.9287809634832
GOP,-24.342655784137044,-22.05130987491021,-14.66615893561029,-36.522288856642106,-32.425954359897474,-88.06402456291966,-75.54713439355297,-51.20276344148016,1.3536079652711384,-128.97176434459672,-110.24451087516245,229.92299063798686,-68.38342527727303,52.78934420955597
GP86,-24.330698303974206,-22.03458002576964,-14.659231211067702,-36.50791685223723,-32.41230441776146,-88.05336490647971,-75.5479445949831,-51.18809139185535,1.7316960661041083,-128.97891488054546,-110.23746266762797,316.36352708470014,-68.37011632944424,1.8487299456898767
GPBE,-24.321563603306828,-22.028174903804594,-14.651492529196036,-36.49607070956431,-32.400924224748074,-88.02748922056034,420.6602481158565,-51.17241956698287,16.834255298047236,-128.94071709532992,-110.20560210738101,-93.89112539214418,-68.34970123332266,16.618568437004193
GPW91,-24.332417375948488,-22.037034068660695,-14.660219732570033,-36.50882591625179,-32.41098965912157,-88.04499558490247,722.3525267381112,-51.186897723124645,20.101847784662226,-128.97212330089116,-110.22445621337894,192.76804341323756,-68.36575544508909,52.623933356141464
GPZ81,228.95759850825974,-22.143679799745847,-14.790040732627915,-36.67375370190164,-32.52626931000574,-88.24563819493439,-75.66665403713452,-51.36524888298337,5.203794220358452,-129.331600542663,-110.43464806197673,106.7598696656097,-68.55586588069131,28.203227311654928
GVWN,0.4187531840508609,-22.145249713131822,-14.791051116124734,-36.67516961546251,-32.52779230993888,-88.24780687767634,-75.66786895833057,-51.36697123945191,4.989745878721243,-129.33782993234018,-110.43692762995393,182.730835593416,-68.55785585980581,57.07775615765667
GVWN1RPA,369.9991009631835,43.23378768658019,-14.864497993001512,-36.75361730465753,-32.569859227379595,-88.32982883306356,-75.71110802144446,-51.44689456603607,38.78490022272712,-129.53929413878654,-110.51973833160868,1.649906830154233,-68.63893582098589,1076.5229884260827
Gill,-24.229393005859933,-21.98171042574971,-14.565787103570202,-36.3998499760909,-32.3539771873339,-87.9247649871384,-75.4709824868045,-51.07337904653096,19.336412044372018,-128.5935496786159,-110.10160652457246,-93.84334857973158,-68.24857879520883,1.6863146938959992
HCTH407,-24.33366420665632,-22.013889434334345,-14.674198716369055,-36.49509460408944,-32.373457658824655,-87.97833962790638,-75.44678202592253,-51.15660332611996,-44.73196439575886,-128.95648896462023,-110.13843985481337,-93.8033973019985,-68.31772871192581,-59.08967856056755
HSE06,-24.30508228114548,-21.99785971229543,-14.63895666155446,-36.47525865192201,-32.36404247457513,-87.99291455965663,-75.46202559584987,-51.14709271101222,-44.73010371379492,-128.88314561326166,-110.16635515953323,-93.82793516839325,-68.31976160647031,-59.09610035231711
LYP,-24.344256166557905,-22.035974515389217,-14.66779989486186,-36.52287258536322,-32.41124260156819,-88.0605598070972,-75.53634565483377,-51.2020236305173,-44.78634642336013,-128.9303837501315,-110.2397809422596,-93.91130063257592,-68.38129983587042,-59.1613667606862
M05,-24.342137872577574,-22.028838620320606,-14.665574408786284,-36.522421342814326,-32.40075143033714,-88.06934154646774,-75.5144971306057,-51.20420626807508,-44.77225255438793,-128.96259680741935,-110.2521044274832,-93.88529205509911,-68.38664786341306,-59.143513084117544
M05-2X,-24.352862159148607,-22.041334443883944,-14.672478052042734,-36.537212920853385,-32.417319724194584,-88.09609620500672,-75.54339415665241,-51.22304064238696,-44.792940700573865,-128.971083422445,-110.2827689968397,-93.91834493295335,-68.40947720422237,-59.16827496981317
M06,-24.334114860314088,-22.049178241158163,-14.6628216094342,-36.508683159654105,-32.42648878863904,-88.03534622274246,-75.55618011668446,-51.18427290979801,-44.80335439294652,-128.95249083680608,-110.21038650743395,-93.93221509744599,-68.35997415989911,-59.179911866427744
M06-2X,-24.34710222568966,-22.034198421323556,-14.666946524224663,-36.530663754785856,-32.408312707727625,-88.08476165116932,-75.52801074918368,-51.21519114373778,-44.78190073100787,-128.9424147572741,-110.26944203305946,-93.90069693608129,-68.39997764770463,-59.155091893264675
M06-HF,-24.371682538289512,-22.023785081450786,-14.684729148751993,-36.56189156476853,-32.39318595119359,-88.13625225111662,-75.49912541038151,-51.25314989071423,-44.762198873690345,-128.96090855728465,-110.32768990777356,-93.86713672063682,-68.44473282848887,-59.13086371012055
M06-L,-24.338729749961704,-22.071322640867074,-14.665075469784536,-36.51637827358672,-32.45560403180571,-88.05625411630234,-75.60698161079539,-51.19585321566507,-44.83960320498535,-128.96118393927236,-110.23629102296347,-93.99039559560545,-68.37607793323846,-59.22338893475139
M06-SX,-24.330301771406937,-22.063313853922363,-14.646163748154885,-36.51769144227211,-32.448773933575076,-88.08310509204681,-75.60212356495062,-51.205994228971704,-44.83363478093987,-128.94352973809742,-110.27149905827355,-93.9859161082052,-68.39457482512297,-59.218050684633695
M08-HX,-24.357189678096354,-22.03885388940227,-14.685470844613523,-36.532263957514566,-32.41036667366052,-88.06458017380272,-75.52342032686994,-51.20898741181924,-44.78157425929418,-128.94173343722804,-110.24293130796049,-93.89412074307613,-68.38655759915059,-59.15257851074982
M08-SO,-24.342178666896345,-22.02156273676748,-14.671523411753563,-36.51821151078385,-32.39193646186547,-88.05709041060533,-75.50366215421715,-51.19660839925992,-44.76238724632058,-128.9338734527764,-110.23851187938091,-93.87452859060011,-68.37637125430902,-59.13292836406031
M11,-24.343935534310084,-22.036051958386793,-14.669697130980023,-36.523143898931664,-32.411206169912106,-88.07483861136694,-75.53522825378492,-51.20532408963153,-44.78603054611132,-128.97688203684837,-110.26110616705826,-93.90962379650554,-68.3894406068043,-59.16068519357589
M11-L,-24.39475853816473,-22.111183224659694,-14.722476088972861,-36.572177801826236,-32.50969245952701,-88.12491990262663,-75.7063112942576,-51.25592627865502,-44.90838852213633,-128.96200227786,-110.30871178741585,-94.10549034581216,-68.44064880188363,-59.307252719005156
