,B+1,B+3,Be+0,C+2,C+4,F+5,F+7,N+3,N+5,Ne+0,Ne+6,Ne+8,O+4,O+6
R2SCAN0,-24.318973674946378,-22.031924119975034,-14.650583454731162,-36.49126293229456,-32.40736420281739,-88.01462941293836,-75.53313461883656,-51.16510872932752,-44.782688497782104,-128.92332850018278,-110.18974981094661,-93.90829335405245,-68.3396774044865,-59.15793658187317
R2SCAN50,-24.32203573874202,-22.030758784180627,-14.652317893421836,-36.49558483662084,-32.40621764722021,-88.02261944576365,-75.53201881968427,-51.170660749802416,-44.781555155952454,-128.91284291922196,-110.19897923806347,-93.90718382426262,-68.34645350337564,-59.156813107498095
R4SCAN,-24.31593024157522,-22.033142403459973,-14.648967106900795,-36.48723764405697,-32.40856096537823,-88.00697817520428,-75.53429658025223,-51.16027055098277,-44.78387025252609,-128.93624584168202,-110.18032585834172,-93.90944829321604,-68.33288544756677,-59.159107184886324
R4SCAN0,-24.31890561521818,-22.031924152938696,-14.65058066493826,-36.49140007542259,-32.40736420281735,-88.01477325780226,-75.53313461883644,-51.16555281871442,-44.78268849778216,-128.92455911210592,-110.18950470915705,-93.90829335405255,-68.33956560759994,-59.157936581873194
RPBE,-24.34930650532519,-22.031139358172926,-14.674085159102082,-36.52861926324897,-32.403830834563,-88.07401164530516,-75.52138506391911,-51.209661236000144,-44.776409672173514,-128.95775013393072,-110.25674316317966,-93.89382128507295,-68.39159183042527,-59.148918558479025
RSCAN,-24.319385352549084,-22.033142403459976,-14.651079760634826,-36.491701971390235,-32.40856096537827,-88.01528393401682,-75.53429658025216,-51.16561040552539,-44.78387025252605,-128.9721003241293,-110.19045627614432,-93.90944829321602,-68.34025312392491,-59.159107184886196
SCAN,-24.31783520960696,433.28621486146983,-14.649993843097938,-36.4899026627371,3.2482575937318936,-88.01274958322591,11.193753090382685,-51.16320421121927,94.59136715422292,-128.95210348522602,-110.1859258138747,-2.2501329074901197,-68.3371405015633,-59.1591071848837
SLYP,-23.892776465700386,-21.63002439220653,-14.318050378450375,-35.97013918909201,-31.916268767559238,-87.20468620577697,-74.77441681985157,-50.54819051036256,-44.20237299379774,-127.87298392097168,-109.28292152053416,-93.06040816309044,-67.6264301882605,-58.48840981969945
SOGGA,-24.137170780778305,-21.85050503426232,-14.50936241120376,-36.269242441836404,-32.184815950789826,-87.6729976673882,-75.18721171418413,-50.90307057836466,-44.51901008823698,-128.45674110001727,-109.80851689544639,-93.52125946588015,-68.03778869158182,-58.85313260288569
SOGGA11,-24.353828899895724,-22.005706680898854,-14.688335893506672,-36.517349653023125,-32.362668348069896,-87.9968826917541,-75.40993409372226,-51.17898605141329,-44.7150547606731,-128.96340377877863,-110.15384852657431,-93.75421698265986,-68.338817130424,-59.06362770306471
SOGGA11X,-24.340194593968512,-22.009998177627292,-14.664181671515248,-36.52112645707021,-32.37478597752555,-88.07021379251604,-75.46506584712294,-51.20398518775284,-44.73893551666347,-128.94156717143736,-110.25229272320425,-93.82673303710725,-68.38728886099065,-59.10240251156334
SOP,-23.88484434930911,-21.633938778750345,-14.31367790643231,-35.96030403610512,-31.921495702685682,-87.19361587607314,-74.78292866846404,-50.53743216749866,-44.20880096339778,-127.85062430549776,-109.27210763558597,-93.06982614504162,-67.61533764170397,-58.49592905678642
SP86,-23.886631742840912,-21.63272049375476,-14.316028980311808,-35.96298571600458,-31.924079559898498,-87.20576242528401,-74.80066791384922,-50.54228097438223,-44.21600188521375,-127.87466362844987,-109.28895406911245,-93.0931504606735,-67.62341449085864,-58.50824875518023
SPBE,-23.87747619953725,-21.626524406533083,-14.308146725473165,-35.951226211809605,-31.91294334429906,-87.18015383342458,-74.77163824225265,-50.526776051154656,-44.19923965510368,-127.83654764862857,-109.25739037126138,-93.05778206320058,-67.60322427419469,-58.48546144337858
SPW91,-23.88828892232754,-21.63532798090062,-14.316818708621533,-35.96394839693975,-31.92295972449657,-87.19764200684644,-74.7845718367251,-50.54122708205276,-44.210330836986486,-127.86790383032145,-109.27622956465521,-93.07151919497801,-67.61925628263874,-58.49751815948166
SPZ81,-24.037077745885682,-21.741582230551714,-14.446185811447616,-36.12861110034047,-32.03790646249846,-87.39812775444808,-74.9193885521326,-50.719362249910816,-44.33275448934049,-128.22697939873711,-109.48628389062388,-93.21159438682069,-67.80918464545671,-58.62649809175215
SVWN,-24.03824281712097,-21.743151743139816,-14.44719570278819,-36.130020574561996,-32.039432034098574,-87.40029018605313,-74.92060824313202,-50.721075742600846,-44.33419192447955,-128.2331765064215,-109.48855919043538,-93.21270157967565,-67.81116642936479,-58.627829889772556
SVWN1RPA,-24.11458765237397,-21.784585981990162,-14.520471437572766,-36.208393015612955,-32.08147412089443,-87.48227386094752,-74.9638334625829,-50.80094144198928,-44.376709448632795,-128.43450889751887,-109.57133745849224,-93.2562007805001,-67.89220015144117,-58.67073330265131
Slater,-23.78594211923393,-21.580127510117183,-14.22327731404505,-35.85553108918077,-31.866048739107242,-87.07779342558949,-74.72401378638452,-50.42818857152915,-44.152014180734696,-127.4904421334776,-109.15372836416128,-93.01003240677296,-67.50250374260138,-58.43800471358928
"Slater, P86",-23.88663288688401,-21.632720118872186,-14.316029290406384,-35.96298538700077,-31.924079954410832,-87.2057602061497,-74.8006675444152,-50.54228093005661,-44.216001900577126,-127.8746556644368,-109.28895201624384,-93.09315056999483,-67.62341590049391,-58.50824916430786
TPSS,-24.346825532255263,-22.03804094829418,-14.671422170625185,-36.526428595160354,-32.41336529024594,-88.07262874100944,-75.53881587064225,-51.2077535447586,-44.78857658043433,-128.98066574541136,-110.25561487954498,-93.91388354705359,-68.38994665502643,-59.163717331926094
TPSSLYP1w,-24.397963080715645,-22.070012540098457,-14.713163277529636,-36.584786728900525,-32.44777803378838,-88.14573770725018,-75.57866595268375,-51.27191667040528,-44.82504889521376,-129.10705416828205,-110.33230723069755,-93.95516408721404,-68.45893593481168,-59.201979387140824
TPSSh,-24.345200135608565,-22.037579048051782,-14.67023253778514,-36.52434441945452,-32.41291094932069,-88.06913762055466,-75.5383732209814,-51.20520440269593,-44.788127285031315,-128.97175425242824,-110.25164832098488,-93.9134431708739,-68.38692901321637,-59.163271787981785
TPSSm,-24.347692661154262,-22.03823854578348,-14.672248360401527,-36.5272705936933,-32.4135608430285,-88.0733343459765,-75.53900667927267,-51.20855131109686,-44.7887702868299,-128.96441538860307,-110.25627597164107,-93.91407307226615,-68.39069758718631,-59.16390937157768
VWN1RPA,-24.567172817766437,-22.191441893783907,-14.87165539250766,-36.76204264247161,-32.57722994162045,-88.33876553268311,-75.72631570749579,-51.45556148750999,-44.96137051095821,-129.4954868626087,-110.52875622507966,-94.1075972930613,-68.64776153567288,-59.34430356401624
VWN5,-24.490753037357752,-22.149959989923136,-14.798240645041515,-36.68361976989234,-32.535151589085416,-88.25675756028052,-75.68307049706479,-51.37565822524907,-44.91882411553473,-129.2937309744034,-110.44595751182315,-94.06408093820166,-68.56669816018594,-59.30137641441057
X3LYP,-24.331276792734712,-22.01032923652928,-14.661372974817342,-36.50328959664014,-32.37552640649329,-88.02035744842988,-75.46954097947841,-51.17570261817346,-44.740389465116266,-128.9495447794752,-110.19246693049749,-93.83393626810536,-68.3480996572091,-59.105037704264355
XAlpha,-22.31363168560338,-20.368257737336705,-13.11367748444815,-34.022438217013885,-30.38603432141943,-84.16519249954668,-72.43972471800005,-48.23498995519035,-42.40389042917675,-122.13050257266957,-105.88162778302916,-90.45767594655784,-64.94951304465147,-56.421791937168116
mPW1LYP,-24.334832714197653,-22.016546607729527,-14.66023244318399,-36.511906040139586,-32.38596782743605,-88.04539501773657,-75.49363400394725,-51.18962436469205,-44.75524651001638,-128.95913704732928,-110.2232564765184,-93.86279600390698,-68.3675057656441,-59.12445566701023
mPW1PBE,-24.31975144490702,-22.01308595288772,-14.650505631551416,-36.493210287090626,-32.38267417241887,-88.0210243348474,-75.49087482545146,-51.168407863953476,-44.75213945032096,-128.9239536567646,-110.19787300141488,-93.86018713541544,-68.34447729986988,-59.12152966708422
mPW1PW91,-24.330608775180096,-22.0219380376141,-14.659239628665686,-36.50596858169513,-32.39273317891613,-88.03853235113688,-75.50383972677716,-51.1828889000478,-44.7632686572358,-128.95528685274246,-110.21672811163157,-93.87395305374726,-68.36053379221998,-59.13362071188946
mPW3PBE,-24.323261095416694,-22.010670485325374,-14.65624941417679,-36.49363886387681,-32.37621390731143,-88.00906490315644,-75.4703673170723,-51.16514415448843,-44.74126139022533,-128.93876598304246,-110.1810748724755,-93.83457073740507,-68.3370526068559,-59.1059491820338
mPWLYP1w,-24.349881711908484,-22.024095006645467,-14.673963658452637,-36.52815601369033,-32.39275178512361,-88.06450908226859,-75.49733810698297,-51.206947033397945,-44.761113801793336,-129.01569617005816,-110.24311671269479,-93.865295523196,-68.38577842940902,-59.129288164911166
mPWPBE,-24.31703325053525,-22.006860954224585,-14.648328371077527,-36.49001367086437,-32.37450610974636,-88.01647794003063,-75.47691283821919,-51.16475471400496,-44.742036103111325,-128.9360191013323,-110.1928838928958,-93.84429926831892,-68.34037498198609,-59.109495502631546
r++SCAN,-24.318275895579806,-22.033142403459994,-14.650290903617083,-36.49023371618944,-32.40856096537819,-88.01271438884974,-75.5342965802522,-51.16377744634127,-44.78387025252615,-128.9658143290286,-110.18751642672332,-93.90944829321603,-68.33805219858176,-59.15910718488627
revB3LYP,-24.303126447606274,-21.99019527901976,-14.638218281936437,-36.47023681736449,-32.35173160021896,-87.97274262906922,-75.43462800257898,-51.13778543632262,-44.71290833032754,-128.87643872769206,-110.1400003466351,-93.7952838795877,-68.30533347651111,-59.073849376182274
revM06,-24.33497243808891,-22.038904429687275,-14.663643178858585,-36.5094208785812,-32.41172236524838,-88.03659254813991,-75.52724868119168,-51.18489136644564,-44.783958737455094,-128.94464690371728,-110.21235803020208,-93.89846262468299,-68.36073981440357,-59.15576764020107
revM06-L,-24.34052471986787,-22.06876351238241,-14.672871640546026,-36.51174770582142,-32.447322734011465,-88.03115938970603,-75.57949842205524,-51.184392405382724,-44.8251941721595,-128.9522336404222,-110.20468560107462,-93.95612026778997,-68.357696687388,-59.202546760690446
revM11,-24.317055183168662,-21.982748036892897,-14.643706809065128,-36.49424521690387,-32.349717657451606,-88.03648049612234,-75.45541365678575,-51.17349978816985,-44.71773035635506,-128.94362513734637,-110.21968062952496,-93.82470443031691,-68.3543590644464,-59.086372153960994
revPBE,-24.33697578157345,-22.024369096766947,-14.664322202138218,-36.51381035984292,-32.395714287775306,-88.05182803385867,-75.50923186988587,-51.19239342415921,-44.76694691430872,-128.9352338353708,-110.23210040824183,-93.88032309363408,-68.3718659525539,-59.138110270581215
revSCAN,-24.3145163589809,30.5476253957736,-14.647390277933134,-36.48588346327751,174.71327888354872,-88.00643910124728,-1.0833365055947561,-51.15838833461176,-0.7506245170880947,-128.9498486034646,-110.17801391695832,865.2613890514461,-68.33125422407416,18.045095789331977
revSCAN0,-24.317386337126464,8.398569932692237,-14.648975734618343,-36.48991762446166,52.26646566602238,-88.01374901636818,8.861679584119939,-51.16357714313665,8.368134069002027,-128.93378795958694,-110.18710693367176,58.60362308748866,-68.33774299255354,125.13492513608315
revTPSS,-24.345410048344316,-22.039773155036997,-14.672309498429891,-36.522798196978734,-32.41499104096939,-88.06263728512519,-75.54024104158833,-51.20197693983698,-44.79012069775274,-128.9238078105629,-110.24353551864846,-93.9152633881617,-68.38205725015973,-59.16519641600106
τHCTH,-24.336344597769838,-22.02911874962546,-14.674727618123686,-36.50032097885674,-32.393886872889006,-87.9916754129747,-75.4836205974598,-51.16452209940585,-44.75776244116599,-128.95520957061842,-110.15451900359602,-93.84586846879832,-68.32833348908375,-59.12095286529235
τHCTHhyb,-24.340273873717575,-22.033115082245352,-14.67208889280343,-36.51098105674132,-32.40167780708805,-88.0239817833475,-75.50331103812347,-51.182157894794884,-44.769440256727975,-128.94874159276105,-110.19441061217755,-93.86965519373076,-68.35321592300296,-59.136603557373945
ωB97,-24.34498382190489,-22.060903715582125,-14.659079720669919,-36.53546257621272,-32.459381604410204,-88.12160078075216,-75.6672341400756,-51.22865037496179,-44.860472964163776,-128.96125346753405,-110.32075755109452,-94.0720256913443,-68.42413361764541,-59.26326947064897
ωB97X,-24.340635967557873,-22.07412607356266,-14.663288948422782,-36.52326349409729,-32.47254617941567,-88.08947001487591,-75.67462801863064,-51.20953842958883,-44.872429815339935,-128.95645238211625,-110.28189501024336,-94.07644588980419,-68.39852032364752,-59.27321888547843
