,B+1,B+3,Be+0,C+2,C+4,F+5,F+7,N+3,N+5,Ne+0,Ne+6,Ne+8,O+4,O+6
SLYP,-23.892647737669947,-21.629948712095786,-14.318003371944021,-35.969983702185544,-31.91618584855639,-87.20452272668558,-74.77434057648559,-50.54802299989608,-44.202288194506,-127.87268151567274,-109.28276381159479,-93.06033898167918,-67.62625742707095,-58.488327633275226
SOGGA,-24.137030003743334,-21.850443230748386,-14.509245375602692,-36.26911207697589,-32.18474705816031,-87.67281052901981,-75.18715801362674,-50.90293621879863,-44.51894084538647,-128.45646825043895,-109.80829538009516,-93.52121746387921,-68.03762669420885,-58.853068154790144
SOGGA11,-24.35194515299113,-22.00185019955789,-14.686218925630012,-36.515058710346295,-32.35809507656953,-87.9937982076979,-75.40590854559558,-51.17607795515556,-44.71030719589311,-128.96175926302365,-110.15103083183331,-93.75060352982555,-68.3356146924807,-59.059314673087925
SOGGA11X,-24.339939915125683,-22.009449865692556,-14.663945993965726,-36.52082910409115,-32.374154585388965,-88.06949149625947,-75.46420166535117,-51.20356032738792,-44.738220408736176,-128.94124343368742,-110.25144227252339,-93.82583636439567,-68.38670611400286,-59.101603261124254
SOP,-23.88473976610596,-21.633842659759896,-14.31362190661222,-35.96017980357186,-31.921393129278602,-87.19349895985553,-74.78284390605813,-50.53730664524675,-44.208699062729174,-127.85036280537928,-109.27199277527912,-93.06975357349395,-67.61521414000258,-58.495833478023016
SP86,-23.886560974994133,-21.632629335910874,-14.31598378586036,-35.962895199888706,-31.923987616705503,-87.20567237365677,-74.80059783299245,-50.54218380561383,-44.215913956268786,-127.87442635742464,-109.28886583052802,-93.0930913110639,-67.62331817724935,-58.50816849622008
SPBE,-23.87736968454538,-21.626443436952897,-14.308086220219954,-35.95110820971761,-31.912854656379075,-87.180044988053,-74.77156297614125,-50.526662655795455,-44.199150220942954,-127.83630263570879,-109.25727797201914,-93.0577176465376,-67.60311302792087,-58.485376876502926
SPW91,-23.888179068716546,-21.635238127864937,-14.316755685561127,-35.96382542197736,-31.922862725969594,-87.19752774099959,-74.78449063514304,-50.54110668428211,-44.21023382991817,-127.86764736963558,-109.27611441934211,-93.0714496013917,-67.61913782750375,-58.49742682453601
SPZ81,-24.036957763548397,-21.741468547065406,-14.446123621254262,-36.12847116079133,-32.03778798844776,-87.3979867927585,-74.91929405956024,-50.71921445709859,-44.33263859670666,-128.22669243005464,-109.48614977369608,-93.21151403856986,-67.80903453444759,-58.6263904656264
SVWN,-24.038122376233765,-21.743037564550534,-14.44713308102277,-36.129880328831916,-32.03931295298716,-87.40014888480977,-74.92051330338626,-50.72092779141731,-44.334075437710716,-128.2328894167321,-109.48842474333532,-93.2126208690819,-67.81101603656161,-58.62772173240579
SVWN1RPA,-24.114467430842595,-21.784472149351473,-14.520409024125135,-36.20825302297557,-32.08135538922583,-87.48213299439169,-74.96373876659702,-50.80079385605733,-44.37659329086837,-128.4342220138606,-109.57120342987727,-93.25612027102146,-67.89205020367444,-58.670625444642525
Slater,-23.78581298693279,-21.580002112230172,-14.223210018473292,-35.85538112305485,-31.86591864872743,-87.07764100600076,-74.72391065199754,-50.42802953849956,-44.151887276627015,-127.49014633620281,-109.15358350857852,-93.00994469253015,-67.50234151184516,-58.43788693676289
"Slater, P86",-23.886562115767646,-21.632628958943815,-14.315984094200907,-35.96289487088262,-31.92398800807542,-87.20567015351642,-74.80059746390651,-50.542183761580915,-44.21591397028388,-127.87441838832038,-109.28886377391552,-93.09309142052632,-67.62331958697476,-58.5081689057023
TPSS,-24.346709628972604,-22.03801836129465,-14.671328187487552,-36.52632132701122,-32.4133371361844,-88.07250113683386,-75.53876640327377,-51.20765884942648,-44.78854233630792,-128.98032400056175,-110.25544610406921,-93.91382419001727,-68.38984342913555,-59.16367572587645
TPSSLYP1w,-24.397867950087303,-22.069984092057982,-14.713083787960288,-36.584713250927194,-32.447745916166305,-88.14567079802357,-75.57861355968915,-51.27186237255722,-44.82501182648593,-129.10677205014505,-110.33221238199008,-93.95510070343711,-68.45888277760278,-59.201935176846874
TPSSh,-24.345103390655737,-22.037560247333055,-14.670154976294455,-36.52425411275846,-32.412887448630215,-88.06902697223482,-75.53832995038496,-51.2051246630237,-44.788098403917914,-128.97147107222202,-110.25149914414582,-93.91339009778105,-68.38684099015279,-59.163236029151946
TPSSm,-24.347569739469026,-22.0382096623613,-14.672138513815872,-36.52715975694918,-32.41352510487629,-88.07317762025949,-75.53894881158288,-51.208448060471206,-44.78872786023802,-128.96407986779457,-110.2560671047691,-93.91400543172924,-68.39057504794464,-59.16385941839326
VWN1RPA,-24.567170249434227,-22.19144100183055,-14.871654607597032,-36.762037378859496,-32.57722865016781,-88.33874674633395,-75.72630335387596,-51.45555352914699,-44.96136753951815,-129.4954860173094,-110.52872478152761,-94.10757545399497,-68.6477489804171,-59.34429625799105
VWN5,-24.49075068527288,-22.14995912848783,-14.798239937975273,-36.68361476336891,-32.53515033798783,-88.25673891940063,-75.68305824440537,-51.375650488359824,-44.91882120514406,-129.29373017490047,-110.4459262017249,-94.06405921970942,-68.56668579178515,-59.301369198258094
X3LYP,-24.33115529315038,-22.010276255370762,-14.66130335981413,-36.50316413264052,-32.375473141651895,-88.02022593815607,-75.46950430478057,-51.17557576452564,-44.74033965367299,-128.94932615133476,-110.19232935368495,-93.8339065346313,-68.34796844823583,-59.104993984522665
XAlpha,-22.312965458782788,-20.36763581028646,-13.113326249473062,-34.02162162868262,-30.38530966669221,-84.16409421660013,-72.43887222701936,-48.234043010742,-42.40308978241419,-122.1292902498473,-105.88048417870154,-90.4568257050577,-64.94845369598119,-56.42093750800125
mPW1LYP,-24.334707976552185,-22.016508177495837,-14.660162086554191,-36.51177932117011,-32.38592914247065,-88.0452593611934,-75.49360654872821,-51.1894966757374,-44.75521028820581,-128.9589274921624,-110.22311190802137,-93.8627725086295,-68.3673725308648,-59.12442372189913
mPW1PBE,-24.31965240420978,-22.013046115422174,-14.650426429685831,-36.49312167037356,-32.38263354528246,-88.02091201865412,-75.49085062752503,-51.16832449650434,-44.752102054924954,-128.92375945625105,-110.19773509768865,-93.86017006937072,-68.34438169799378,-59.12149822322753
mPW1PW91,-24.33050647608812,-22.021891855265956,-14.659157577227427,-36.5058754096737,-32.39268686531382,-88.03842182769895,-75.50381215700585,-51.18280096466957,-44.7632263418067,-128.95508480519075,-110.21659643657713,-93.87393330479277,-68.3604362934675,-59.13358514328516
mPW3PBE,-24.32314888116511,-22.01061298081466,-14.656162380189011,-36.49353291042857,-32.37615610604184,-88.00894571802046,-75.47033076727394,-51.16504236002708,-44.74120793622571,-128.9385452413666,-110.18093874231997,-93.83454352909357,-68.33694285572675,-59.105903241019305
mPWLYP1w,-24.349665818695772,-22.0240093162271,-14.673831411497675,-36.52793183186511,-32.392665602972556,-88.06425083463749,-75.49727345403907,-51.206712079737756,-44.76103158825849,-129.0153263977334,-110.24284511361563,-93.86524103235372,-68.38552560459082,-59.129213192903364
mPWPBE,-24.31685426572814,-22.006776476326134,-14.648184159708169,-36.48984366077159,-32.37441931247124,-88.01625510753503,-75.47684948502038,-51.164581126134394,-44.74195276721354,-128.9356711535655,-110.19262837506618,-93.84424847613887,-68.34017514070649,-59.109419765995
r++SCAN,-24.318155043546597,-22.0330939606488,-14.65017171856022,-36.49008934332494,-32.40851680835036,-88.01242543560183,-75.53427737280205,-51.16358488446985,-44.78383364219094,-128.96528121829078,-110.18718013754818,-93.90943603876865,-68.33780796452545,-59.15907961419871
revB3LYP,-24.30300755417526,-21.990132685534945,-14.638150897009604,-36.47011303432768,-32.35166874622248,-87.97261721714027,-75.43458308660908,-51.13766102705053,-44.71284923023888,-128.87621504756066,-110.13987088508833,-93.79524653358665,-68.30520651196278,-59.073796882589605
revM06,-24.33414887443959,-22.038149481740398,-14.663085227851392,-36.50861645622214,-32.41096605008903,-88.0358795812871,-75.52654733701675,-51.1841275704201,-44.783210177425254,-128.94397787633946,-110.21166299560264,-93.89779425675036,-68.36000191384264,-59.15503731586763
revM06-L,-24.33969325330763,-22.068044919253214,-14.671991560525948,-36.51085786447739,-32.44656896206941,-88.02997354075407,-75.57864216939718,-51.18339298675171,-44.82439519186002,-128.95068510313257,-110.2034285461796,-93.95525056970756,-68.35659206218314,-59.2017188812695
revM11,-24.313026302656638,-21.97905995751217,-14.640361494847447,-36.489932255449844,-32.34570638013091,-88.03165969880148,-75.45097145713844,-51.16897896072756,-44.71350529764182,-128.93897908249352,-110.21476755041985,-93.82019727922933,-68.34964815478283,-59.082006104757276
revPBE,-24.33680167443341,-22.024307908378354,-14.664134047598328,-36.51364850465101,-32.39564701306972,-88.05152223400997,-75.50918228381084,-51.19220160914137,-44.76688013766638,-128.9348878801066,-110.23173530759244,-93.88028574615802,-68.3716104217958,-59.13804873932177
revSCAN,-24.31426955112254,1.3956055132324585,-14.647223203586693,-36.48565890370353,3.6987562212208873,-88.00580550088186,19.051372219459054,-51.15804110280808,2.0976497543288035,-128.94915432163972,-110.17746371753378,57.80819706644731,-68.33069055722486,1.179900600336631
revSCAN0,-24.317228181796676,5.179760066373406,-14.648876424883207,-36.489779736903,5.934352194147602,-88.01335598159649,21.074836810298443,-51.1633707360002,6.944935479730706,-128.93336485565203,-110.1867539342358,6.444764869386207,-68.33740514075205,15.44562219901657
revTPSS,-24.345328026738866,-22.039756891531688,-14.672239443786545,-36.52272162005613,-32.414972679327214,-88.06255458731874,-75.54020524892141,-51.201912809297504,-44.79009839804093,-128.92355162781814,-110.24342059041938,-93.91521767752059,-68.38199088037621,-59.16516790164176
τHCTH,-24.33589349094686,-22.028762210997396,-14.67433012736903,-36.49983209984478,-32.393511314802396,-87.9909507611406,-75.48306001433062,-51.16399046325261,-44.757335274416086,-128.95494134200288,-110.15364224181903,-93.84523756949172,-68.32772350062231,-59.12046122254572
τHCTHhyb,-24.34012458554104,-22.03301936772371,-14.671939086712786,-36.51083281559562,-32.401573832510906,-88.0237675833102,-75.5031751931518,-51.182004921160456,-44.769325119364105,-128.94850312858358,-110.19414342667588,-93.86951024402663,-68.35303899944064,-59.13647785656544
ωB97,-24.344620846077564,-22.060777326699867,-14.658860842401248,-36.53502678700612,-32.45923754988534,-88.12093300098151,-75.66696928970707,-51.22816539730097,-44.86029822206877,-128.96057374192446,-110.31995208854426,-94.07170764395299,-68.42356761282461,-59.26305391487804
ωB97X,-24.340339153032353,-22.073656748048457,-14.662967850642355,-36.52302016132674,-32.47201832242477,-88.08927710709142,-75.67400732892183,-51.20933819038774,-44.87186600062105,-128.9559576805244,-110.28167875948267,-94.07578496383204,-68.39833460272101,-59.27263443845562
