,B+1,B+3,Be+0,C+2,C+4,F+5,F+7,N+3,N+5,Ne+0,Ne+6,Ne+8,O+4,O+6
CAM-B3LYP,-24.32159156372633,-21.99914901316716,-14.650305861120001,-36.49516798731062,-32.367651323907545,-88.02110158092438,-75.47613889553801,-51.16978137754387,-44.73677313867324,-128.95766858045317,-110.19752761102077,-93.84617167364804,-68.34514748098445,-59.10631065326434
CASE21,-24.321812488051798,-22.004483184677966,-14.655169719694918,-36.49219346225276,-32.36966390787158,-88.01016091384756,-75.46539432987916,-51.16413198320285,-44.73484451145883,-128.91321952307626,-110.18376033214972,-93.83078700315431,-68.33689995431683,-59.10007979450947
EDF1,-24.34950495115785,-22.03719150037209,-14.672741932371794,-36.528442451607724,-32.41073856588151,-88.06674313328145,-75.53129598830714,-51.207852698224805,-44.78424492214441,-128.99886305907427,-110.246102375846,-93.90486148760623,-68.38731640057179,-59.15775763266388
GAS22,-24.36147695131327,-22.044688067373645,-14.677195715207281,-36.54758232312367,-32.42804342066271,-88.11023182099147,-75.58065901232249,-51.234582526372535,-44.81197811662176,-128.9848717464216,-110.29856313197676,-93.96518054598013,-68.42219629369544,-59.196225747048516
GLYP,-24.336214617789885,-22.031464281573186,-14.660795496898892,-36.514334951801914,-32.40403895828621,-88.05140803890652,-75.52124032182304,-51.19319619336457,-44.776487372788495,-128.97630774212087,-110.23052822686059,-93.89359051026776,-68.37227880105006,-59.148876536525606
GOP,-24.342506139681674,-22.051130866163174,-14.666023841915225,-36.52214341227368,7.501719740903014,-88.06389087132706,-75.54700545553746,-51.20262494264219,-44.79985635392645,-128.97144929861744,-110.24437401033023,-93.9202608771404,-68.38328850665013,-59.17355952501123
GP86,-24.330588927639653,-22.034440562471286,-14.659126001877599,-36.50781059699823,-32.41217148477834,-88.05326114504471,-75.54785218966379,-51.18799283169962,-44.790460718136565,-128.97862014570381,-110.23734299909805,-93.92669405586837,-68.37001835623118,-59.169071630933345
GPBE,-24.32141856029613,-22.028046902554593,-14.651356580952967,-36.49593834486204,-32.40079423264112,-88.02735079542813,-75.51853919638563,-51.17229850404647,-44.773432646064826,-128.94041781755567,-110.20544259089282,-93.89104247680686,-68.34957440386675,-59.14600564162862
GPW91,-24.332269517663768,-22.03689496179267,-14.660080579330383,-36.50868979760404,-32.41084967140706,-88.04485882016277,-75.53150248191298,-51.18677270178037,-44.78455889733027,-128.9718150221016,-110.22430254679506,-93.9048073870253,-68.36562686527338,-59.158094402912
GPZ81,-24.481395221288555,-22.143509957167993,-14.78990973500208,-36.67360902072734,1.0561899281257034,-88.24550165830722,-75.66653315979407,-51.36510973297433,-44.907249368200084,-129.33128425893352,-110.4345075351858,-94.04507796961897,-68.55572716086161,-59.28731120655426
GVWN,-24.4825630005075,-22.145079282437585,-14.79091949261267,-36.67502461714742,7.646121005650233,-88.24766990495446,-75.66774757651098,-51.366831742451694,-44.90868216897067,-129.33751387507905,-110.43678677832374,-94.04617998287549,-68.55771663915785,-59.28863784462584
GVWN1RPA,-24.559013977364316,-22.186546339960568,-14.864367086505059,-36.75347269469336,1.6589486219953242,-88.32969230172098,-75.71098691813127,-51.44675554190104,-44.95121994911594,-129.5389779832418,-110.51959786964856,-94.08969131429478,-68.63879709229383,-59.33155799731783
Gill,-24.229235003384854,-21.981526013498517,5.567485545385265,-36.39969482523652,0.9612764033954031,-87.92461927218486,-75.47085177696474,-51.07322907816654,-44.72612010555673,-128.59322930080316,-110.10145817450721,-93.84323911355511,-68.24842945308977,-59.09847446881337
HCTH407,-24.333518447535095,-22.013855382695372,-14.67389780911729,-36.49489076873238,-32.3734144297701,-87.97782451489049,-75.44669790206115,-51.15630568534416,-44.731910236100966,-128.95621747092784,-110.13780540378018,-93.80329377234668,-68.31731134260191,-59.08961023206163
